
="",="(1)",="(2)"
="",="crude_rate_20_64",="delta_y"

="0.Treat",="0",=""
="",="(.)",=""

="1.Treat",="0",=""
="",="(.)",=""

="Treat",="",="-2.563"
="",="",="(1.490)"

="0.Post",="0",=""
="",="(.)",=""

="1.Post",="0",=""
="",="(.)",=""

="0.Treat#0.Post",="0",=""
="",="(.)",=""

="0.Treat#1.Post",="0",=""
="",="(.)",=""

="1.Treat#0.Post",="0",=""
="",="(.)",=""

="1.Treat#1.Post",="-2.563",=""
="",="(1.490)",=""

="_cons",="349.3***",="6.301***"
="",="(0.420)",="(1.131)"

="N",="4400",="2200"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
