var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,panel,estimator,outcome,bootstrap_reps
Pre_avg,-.006738177,.051815581,-.1300415234185236,.896533574661573,-.1082948488032872,.0948184947332794,1711,four_digit,reg,l_ship,0
Post_avg,.54524899,.22231418,2.452605532770678,.0141825770781248,.1095212013084119,.9809767692726428,1711,four_digit,reg,l_ship,0
Tm5,.066030949,.11545794,.5719047710312449,.5673864916089375,-.1602624637359149,.2923243624442584,1711,four_digit,reg,l_ship,0
Tm4,.017068755,.06587895,.2590926975342913,.7955637189989924,-.1120516145741437,.1461891243373845,1711,four_digit,reg,l_ship,0
Tm3,-.16171621,.31072187,-.5204532453950165,.6027477070760869,-.770719890575323,.4472874748515223,1711,four_digit,reg,l_ship,0
Tm2,-.04653959,.18361019,-.2534695420849642,.7999053947199131,-.4064089414797505,.3133297619543751,1711,four_digit,reg,l_ship,0
Tm1,.091465205,.19827767,.4612985731677192,.6445844084921408,-.2971518816274856,.4800822915357803,1711,four_digit,reg,l_ship,0
Tp0,.12297334,.14361225,.8562872399976965,.3918389174625652,-.1585015013131852,.404448176852202,1711,four_digit,reg,l_ship,0
Tp1,.12179442,.13719751,.8877305282438065,.3746857203029437,-.1471077597077736,.3906965947087654,1711,four_digit,reg,l_ship,0
Tp2,.11726283,.18690108,.6274058678983401,.5303932223081054,-.2490565480024552,.4835822136432862,1711,four_digit,reg,l_ship,0
Tp3,.21536803,.28676137,.7510357130422989,.452631163143393,-.3466739313335007,.7774099962443893,1711,four_digit,reg,l_ship,0
Tp4,.40955156,.25101897,1.63155620833407,.1027730098075472,-.0824365821188682,.9015397038763755,1711,four_digit,reg,l_ship,0
Tp5,.54734683,.26455066,2.068967956753113,.0385490937143016,.0288370723643178,1.065856588371766,1711,four_digit,reg,l_ship,0
Tp6,.620736,.27777594,2.234664368677858,.0254393915117177,.0763051583230553,1.165166847521061,1711,four_digit,reg,l_ship,0
Tp7,.55161035,.28082499,1.964249522149337,.0495011623666832,.0012034860523309,1.10201721516532,1711,four_digit,reg,l_ship,0
Tp8,.59117848,.29503915,2.003728937478074,.0450991047076592,.0129123743893944,1.169444579231516,1711,four_digit,reg,l_ship,0
Tp9,.65331215,.30429482,2.146970943465708,.0317955949238349,.0569052497653024,1.249719043562029,1711,four_digit,reg,l_ship,0
Tp10,.91838443,.30099529,3.05115881361534,.0022795996408707,.3284445043288834,1.508324361256444,1711,four_digit,reg,l_ship,0
Tp11,.98212153,.30417019,3.228855276831136,.0012428677395744,.385958907099849,1.578284147290105,1711,four_digit,reg,l_ship,0
Tp12,.90180933,.3186219,2.830343188593735,.0046498098282144,.2773218788998432,1.526296790610044,1711,four_digit,reg,l_ship,0
Tp13,.88003606,.32216793,2.731606612370841,.0063026345742965,.2485985104130664,1.511473601670369,1711,four_digit,reg,l_ship,0
Pre_avg,-.0078182565,.052901197,-.1477897838796041,.8825086720820479,-.1115026978046006,.0958661847949332,1711,four_digit,dripw,l_ship,999
Post_avg,.59230345,.21190928,2.795080314726309,.0051886823004139,.176968899600681,1.007638010151211,1711,four_digit,dripw,l_ship,999
Tm5,.053762171,.12640773,.4253076329950481,.6706124299524516,-.1939924220443972,.3015167648793467,1711,four_digit,dripw,l_ship,999
